uuid,Members,Answers,Fully specified name:en,Fully specified name:pt,Short name:en,Short name:pt,Description:en,Description:pt,Data class,Data type,Units,Normal high,Normal low,_version:1,_order:1002,
b5031bfa-924f-11e9-bc42-526af7764f64,Apss_Positive_prevention_Alcohol_other_Drugs_consumption;Apss_Positive_prevention_Disclosure_HIV_status_partner_encouragement_test;Apss_Positive_prevention_Family_Planning;Apss_Positive_prevention_Need_community_support;Apss_Positive_prevention_Sexual_behavior;Apss_Positive_prevention_Sexually_Transmitted_Infections;Apss_Positive_prevention_importance_adherence,,Apss_Positive_prevention,,Positive Prevention,Prevenção Positiva,,,Misc,N/A,,,,,,
b5031d44-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Key_Population_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5031e66-924f-11e9-bc42-526af7764f64,,,Apss_Positive_prevention_Key_Population_No,,No,Não,,,Misc,N/A,,,,,,
b5031f7e-924f-11e9-bc42-526af7764f64,,Apss_Positive_prevention_Key_Population_Yes;Apss_Positive_prevention_Key_Population_No,Apss_Positive_prevention_Key_Population,,Key Population - provision of lubricants,População Chave - Oferta de Lubrificantes,,,Misc,Coded,,,,,,
b50320a0-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Has_informed_someone_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b50321b8-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Has_informed_someone_No,,No,Não,,,Misc,N/A,,,,,,
b50322da-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_Has_informed_someone_Yes;Apss_Adherence_follow_up_Has_informed_someone_No,Apss_Adherence_follow_up_Has_informed_someone,,Has informed someone about his/her HIV,Informou alguém sobre o seu seroestado,,,Misc,Coded,,,,,,
b503291a-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5032aa0-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled_No,,No,Não,,,Misc,N/A,,,,,,
b5032cda-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled_Yes;Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled_No,Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled,,"If child, adolescent, aged or if has physical or mental disability","Se criança, adolescente, idoso ou se tem deficiência física","Only if child, adolescent, aged or if has physical or mental disability","Se for criança, adolescente, idoso ou se tem deficiência física ou mental",Misc,Coded,,,,,,
b5032e4c-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Who_administers_Full_Name,,Full Name,Nome completo,,,Misc,Text,,,,,,
8a2009fe-b08f-4c7d-93b3-b2baf0a02071,,,Apss_Adherence_follow_up_Administers_ARV_Alone_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
815ebbb4-21d2-46f1-b1c7-5af31aa76345,,,Apss_Adherence_follow_up_Administers_ARV_Alone_No,,No,Não,,,Misc,N/A,,,,,,
b503316c-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_Administers_ARV_Alone_Yes;Apss_Adherence_follow_up_Administers_ARV_Alone_No,Apss_Adherence_follow_up_Administers_ARV_Alone,,Does she/he administer ARVs by himself/herself?,Administra os ARVs sozinho?,,,Misc,Coded,,,,,,
b50332fc-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Adherence_Plan_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b50336a8-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Adherence_Plan_No,,No,Não,,,Misc,N/A,,,,,,
b5033810-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_Adherence_Plan_Yes;Apss_Adherence_follow_up_Adherence_Plan_No,Apss_Adherence_follow_up_Adherence_Plan,,Adherence Plan,Plano de adesão,"Timetable, Dosage, Forgetting dosage, Travel","horário, Dose, esquecimento da dose, Viagem",Misc,Coded,,,,,,
b5033946-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Side_Effects_Yes,,Yes,Sim,,,Misc,N/A,,,,,,
b5033a72-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Side_Effects_No,,No,Não,,,Misc,N/A,,,,,,
b5033b9e-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_Side_Effects_Yes;Apss_Adherence_follow_up_Side_Effects_No,Apss_Adherence_follow_up_Side_Effects,,Side Effects,Efeitos secundários,What can happen; how to manage side effects,o que pode ocorrer; como manejar efeitos secundários,Misc,Coded,,,,,,
b5033f18-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Adherence_TARV_Good,,Good,Boa,,,Misc,N/A,,,,,,
b503404e-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Adherence_TARV_Risky,,Risky,Risco,,,Misc,N/A,,,,,,
b503417a-924f-11e9-bc42-526af7764f64,,,Apss_Adherence_follow_up_Adherence_TARV_Bad,,Bad,Má,,,Misc,N/A,,,,,,
b503429c-924f-11e9-bc42-526af7764f64,,Apss_Adherence_follow_up_Adherence_TARV_Good;Apss_Adherence_follow_up_Adherence_TARV_Risky;Apss_Adherence_follow_up_Adherence_TARV_Bad,Apss_Adherence_follow_up_Adherence_TARV,,Adherence of TARV,Adesão ao TARV,,,Misc,Coded,,,,,,
b503440e-924f-11e9-bc42-526af7764f64,Apss_Adherence_follow_up_Has_informed_someone;Apss_Adherence_follow_up_Has_informed_someone_RELATIONSHIP;Apss_Adherence_follow_up_If_Child_Adolescent_Elderly_Disabled;Apss_Adherence_follow_up_Administers_ARV_Alone;Apss_Adherence_follow_up_Who_administers_Full_Name;CONFIDENT_RELATIONSHIP;Apss_Adherence_follow_up_Adherence_Plan;Apss_Adherence_follow_up_Side_Effects;Apss_Adherence_follow_up_Adherence_TARV,,Apss_Adherence_follow_up,,Adherence follow-up,Seguimento de adesão (após o início do TARV),,,Misc,N/A,,,,,,
074f17f8-2461-47c0-85de-04c1e9ed8beb,,,Apss_Reason_For_The_Visit_Normal,,Normal,Normal,,,Misc,N/A,,,,,,
dacfe7b5-2755-4fdf-be80-d184a6d7bfe0,,,Apss_Reason_For_The_Visit_Faulty,,Faulty,Faltoso,,,Misc,N/A,,,,,,
d113ddf7-5d86-4dc3-8422-458f7fcc4bbd,,,Apss_Reason_For_The_Visit_Leave,,Leave,Abandono,,,Misc,N/A,,,,,,
ebda558d-1cb5-4bbe-b817-470ef2b8a077,,Apss_Reason_For_The_Visit_Normal;Apss_Reason_For_The_Visit_Faulty;Apss_Reason_For_The_Visit_Leave,Apss_Reason_For_The_Visit,,Reason for the Visit,Motivo da Consulta,,,Misc,Coded,,,,,,
8f429c26-b416-4b05-b98b-6db015a065b3,Apss_Positive_prevention;Apss_Positive_prevention_Key_Population;Apss_Adherence_follow_up;Apss_Reason_For_The_Visit;,,Apss_Section_II_form,,Section II,Secção II,,,Misc,N/A,,,,,,
