uuid,Members,Answers,Fully specified name:pt,Fully specified name:en,Short name:pt,Short name:en,Data class,Data type,_version:1,_order:100
551dd0ef-0e90-498e-bdf0-48012b0da63a,,,DC_Leptospirose,DC_Leptospirose,A27-Leptospirose,A27-Leptospirose,Misc,N/A,,
3f09c029-114a-45df-a422-e6bd38150dc7,,,DC_Outras doenças bacterianas zoonóticas não classificadas em outra parte,DC_Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28-Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28-Outras doenças bacterianas zoonóticas não classificadas em outra parte,Misc,N/A,,
90512163-06cb-4c4c-9a51-73061d2a5344,,,DC_Hanseníase [doença de Hansen] [lepra],DC_Hanseníase [doença de Hansen] [lepra],A30-Hanseníase [doença de Hansen] [lepra],A30-Hanseníase [doença de Hansen] [lepra],Misc,N/A,,
84ee8c07-e5e7-4e1f-afcb-ced9e33d7c00,,,DC_Infecções devidas a outras micobactérias,DC_Infecções devidas a outras micobactérias,A31-Infecções devidas a outras micobactérias,A31-Infecções devidas a outras micobactérias,Misc,N/A,,
e2b10d4f-42db-4423-8c8e-6fe12ccc6a70,,,DC_Listeriose [listeríase],DC_Listeriose [listeríase],A32-Listeriose [listeríase],A32-Listeriose [listeríase],Misc,N/A,,
5c106c51-27de-48da-b5fe-fb884fda3430,,,DC_Tétano do recém-nascido [neonatal],DC_Tétano do recém-nascido [neonatal],A33-Tétano do recém-nascido [neonatal],A33-Tétano do recém-nascido [neonatal],Misc,N/A,,
0d2f228c-aa09-4a0b-9b4f-ac185ead9e73,,,DC_Tétano obstétrico,DC_Tétano obstétrico,A34-Tétano obstétrico,A34-Tétano obstétrico,Misc,N/A,,
03a080c9-6b9d-499f-a702-a5405aefc97b,,,DC_Outros tipos de tétano,DC_Outros tipos de tétano,A35-Outros tipos de tétano,A35-Outros tipos de tétano,Misc,N/A,,
9bfaeed9-e8d1-414b-b40c-eff6a529fd9c,,,DC_Difteria,DC_Difteria,A36-Difteria,A36-Difteria,Misc,N/A,,
482401aa-237b-46cb-85d2-bf1c70f9b9af,,,DC_Coqueluche,DC_Coqueluche,A37-Coqueluche,A37-Coqueluche,Misc,N/A,,
c787ee97-b475-419e-b7d0-a3270bda9b9b,,,DC_Escarlatina,DC_Escarlatina,A38-Escarlatina,A38-Escarlatina,Misc,N/A,,
9b1a2d47-20fa-42ce-95d6-2adcad6bf5c2,,,DC_Infecção meningogócica,DC_Infecção meningogócica,A39-Infecção meningogócica,A39-Infecção meningogócica,Misc,N/A,,
b6fd3e26-a506-4ff1-8402-e48c429f42fe,,,DC_Septicemia estreptocócica,DC_Septicemia estreptocócica,A40-Septicemia estreptocócica,A40-Septicemia estreptocócica,Misc,N/A,,
7ffe7772-2d7b-4b3b-a450-4fffb116fd15,,,DC_Outras septicemias,DC_Outras septicemias,A41-Outras septicemias,A41-Outras septicemias,Misc,N/A,,
5d74ef6f-9ead-41fb-af37-c07fa4b62ac2,,,DC_Actinomicose,DC_Actinomicose,A42-Actinomicose,A42-Actinomicose,Misc,N/A,,
d5f3e13c-b3ad-4ec9-879b-f2f6feec9a76,,,DC_Nocardiose,DC_Nocardiose,A43-Nocardiose,A43-Nocardiose,Misc,N/A,,
931178b1-75f1-4740-b1c6-69d5647432c3,,,DC_Bartonelose,DC_Bartonelose,A44-Bartonelose,A44-Bartonelose,Misc,N/A,,
441a4cba-b921-4f28-98e9-55d4c77e81bb,,,DC_Erisipela,DC_Erisipela,A46-Erisipela,A46-Erisipela,Misc,N/A,,
e1aafe0d-3b5a-4ce9-885f-a850f4539fb7,,,DC_Outras doenças bacterianas não classificadas em outra parte,DC_Outras doenças bacterianas não classificadas em outra parte,A48-Outras doenças bacterianas não classificadas em outra parte,A48-Outras doenças bacterianas não classificadas em outra parte,Misc,N/A,,
e22d8d7a-f505-402f-8dff-23ca4efb544c,,,DC_Infecção bacteriana de local não especificado,DC_Infecção bacteriana de local não especificado,A49-Infecção bacteriana de local não especificado,A49-Infecção bacteriana de local não especificado,Misc,N/A,,
e4374049-0641-4525-ba78-e7d1f1876f7c,,,DC_Sífilis congênita,DC_Sífilis congênita,A50-Sífilis congênita,A50-Sífilis congênita,Misc,N/A,,
a78e6d23-e501-44b6-8bca-729306ab22d8,,,DC_Sífilis precoce,DC_Sífilis precoce,A51-Sífilis precoce,A51-Sífilis precoce,Misc,N/A,,
a549d5d5-6953-417e-8ec5-43e3e8364483,,,DC_Sífilis tardia,DC_Sífilis tardia,A52-Sífilis tardia,A52-Sífilis tardia,Misc,N/A,,
57f07b60-34fe-4b68-b46c-1b840ae7973b,,,DC_Outras formas e as não especificadas da sífilis,DC_Outras formas e as não especificadas da sífilis,A53-Outras formas e as não especificadas da sífilis,A53-Outras formas e as não especificadas da sífilis,Misc,N/A,,
7037afb2-dbea-4e01-87fb-7b5e6428d05e,,,DC_Infecção gonocócica,DC_Infecção gonocócica,A54-Infecção gonocócica,A54-Infecção gonocócica,Misc,N/A,,
85620b13-9864-462f-8b20-a54ea427a307,,,DC_Linfogranuloma (venéreo) por clamídia,DC_Linfogranuloma (venéreo) por clamídia,A55-Linfogranuloma (venéreo) por clamídia,A55-Linfogranuloma (venéreo) por clamídia,Misc,N/A,,
fa7ba243-fd34-4cfd-b0d1-21de2e6e053f,,,DC_Outras infecções causadas por clamídias transmitidas por via sexual,DC_Outras infecções causadas por clamídias transmitidas por via sexual,A56-Outras infecções causadas por clamídias transmitidas por via sexual,A56-Outras infecções causadas por clamídias transmitidas por via sexual,Misc,N/A,,
0c34b536-92cb-4cc9-aff5-24ee27345b45,,,DC_Cancro mole,DC_Cancro mole,A57-Cancro mole,A57-Cancro mole,Misc,N/A,,
e672c5c9-56ae-42fd-8594-54a1014dbf90,,,DC_Granuloma inguinal,DC_Granuloma inguinal,A58-Granuloma inguinal,A58-Granuloma inguinal,Misc,N/A,,
c44c9875-867a-48f4-a73d-adbc536a47ad,,,DC_Tricomoníase,DC_Tricomoníase,A59-Tricomoníase,A59-Tricomoníase,Misc,N/A,,
15da73c4-44e7-4429-b70c-dd3f2c09c938,,,DC_Infecções anogenitais pelo vírus do herpes [herpes simples],DC_Infecções anogenitais pelo vírus do herpes [herpes simples],A60-Infecções anogenitais pelo vírus do herpes [herpes simples],A60-Infecções anogenitais pelo vírus do herpes [herpes simples],Misc,N/A,,
f13aee05-1b46-445b-bf61-9cc0c623f9d4,,,"DC_Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","DC_Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","A63-Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","A63-Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte",Misc,N/A,,
bae19a35-d40d-45ee-a8c3-9342868da644,,,"DC_Doenças sexualmente transmitidas, não especificadas","DC_Doenças sexualmente transmitidas, não especificadas","A64-Doenças sexualmente transmitidas, não especificadas","A64-Doenças sexualmente transmitidas, não especificadas",Misc,N/A,,
55e9b9ad-8f3e-40e1-8e89-6373e9484ebe,,,DC_Sífilis não-venérea,DC_Sífilis não-venérea,A65-Sífilis não-venérea,A65-Sífilis não-venérea,Misc,N/A,,
9a9af7ef-709a-4f71-a70b-b7e5e27d1902,,,DC_Bouba,DC_Bouba,A66-Bouba,A66-Bouba,Misc,N/A,,
1e836f8c-f11b-4e35-84d8-1f071801e590,,,DC_Pinta [carate],DC_Pinta [carate],A67-Pinta [carate],A67-Pinta [carate],Misc,N/A,,
83195dba-a1b9-48b4-b414-0b52acc2dff4,,,DC_Febres recorrentes [Borrelioses],DC_Febres recorrentes [Borrelioses],A68-Febres recorrentes [Borrelioses],A68-Febres recorrentes [Borrelioses],Misc,N/A,,
3c18a381-55e3-4c72-b21c-4b2c7953bc80,,,DC_Outras infecções por espiroquetas,DC_Outras infecções por espiroquetas,A69-Outras infecções por espiroquetas,A69-Outras infecções por espiroquetas,Misc,N/A,,
bf5f89fe-a6f3-40c0-b7a0-4bb2aba50a76,,,DC_Infecções causadas por Clamídia psittaci,DC_Infecções causadas por Clamídia psittaci,A70-Infecções causadas por Clamídia psittaci,A70-Infecções causadas por Clamídia psittaci,Misc,N/A,,
cab3c0d9-91af-4a9a-b11e-a818c07f87cf,,,DC_Tracoma,DC_Tracoma,A71-Tracoma,A71-Tracoma,Misc,N/A,,
d53551db-2f84-4cb8-bdcb-371d9a95c5a3,,,DC_Outras doenças causadas por Clamídias,DC_Outras doenças causadas por Clamídias,A74-Outras doenças causadas por Clamídias,A74-Outras doenças causadas por Clamídias,Misc,N/A,,
f3b3c967-2795-4c38-8419-7c1b269ab004,,,DC_Tifo exantemático,DC_Tifo exantemático,A75-Tifo exantemático,A75-Tifo exantemático,Misc,N/A,,
38e5325a-c658-4796-a8fe-7efa4527055e,,,DC_Febre maculosa [rickettsioses transmitidas por carrapatos],DC_Febre maculosa [rickettsioses transmitidas por carrapatos],A77-Febre maculosa [rickettsioses transmitidas por carrapatos],A77-Febre maculosa [rickettsioses transmitidas por carrapatos],Misc,N/A,,
c8ac992b-d286-4d65-800b-687c74f2dce0,,,DC_Febre Q,DC_Febre Q,A78-Febre Q,A78-Febre Q,Misc,N/A,,
5ce44831-93d4-4c70-bc3d-3d178f66ae02,,,DC_Outras rickettsioses,DC_Outras rickettsioses,A79-Outras rickettsioses,A79-Outras rickettsioses,Misc,N/A,,
f9903a92-3f6c-4566-95e2-430548ba2485,,,DC_Poliomielite aguda,DC_Poliomielite aguda,A80-Poliomielite aguda,A80-Poliomielite aguda,Misc,N/A,,
eb0bce4b-4809-4770-8d70-111d1afe48da,,,DC_Infecções por vírus lentos do sistema nervoso central,DC_Infecções por vírus lentos do sistema nervoso central,A81-Infecções por vírus lentos do sistema nervoso central,A81-Infecções por vírus lentos do sistema nervoso central,Misc,N/A,,
25c703ce-d444-4f80-9549-fe719be8f1a1,,,DC_Raiva,DC_Raiva,A82-Raiva,A82-Raiva,Misc,N/A,,
2a25046f-a0ac-4af4-aec1-fe7aad0d1623,,,DC_Encefalite por vírus transmitidos por mosquitos,DC_Encefalite por vírus transmitidos por mosquitos,A83-Encefalite por vírus transmitidos por mosquitos,A83-Encefalite por vírus transmitidos por mosquitos,Misc,N/A,,
99b9c414-90f5-4f70-b3d4-bdd22df380e1,,,DC_Encefalite por vírus transmitido por carrapatos,DC_Encefalite por vírus transmitido por carrapatos,A84-Encefalite por vírus transmitido por carrapatos,A84-Encefalite por vírus transmitido por carrapatos,Misc,N/A,,
60cfd103-63c1-4ab7-8397-1d3bbfd35eec,,,"DC_Outras encefalites virais, não classificadas em outra parte","DC_Outras encefalites virais, não classificadas em outra parte","A85-Outras encefalites virais, não classificadas em outra parte","A85-Outras encefalites virais, não classificadas em outra parte",Misc,N/A,,
f4eebe1a-dac0-4dda-a250-86be1047299c,,,"DC_Encefalite viral, não especificada","DC_Encefalite viral, não especificada","A86-Encefalite viral, não especificada","A86-Encefalite viral, não especificada",Misc,N/A,,
87c8a3a0-04f0-40e5-841a-3975822c010c,,,DC_Meningite viral,DC_Meningite viral,A87-Meningite viral,A87-Meningite viral,Misc,N/A,,
f181acf4-b7b2-4ae6-8c5e-2dcdad2d1eae,,,DC_Outras infecções virais do sistema nervoso central não classificadas em outra parte,DC_Outras infecções virais do sistema nervoso central não classificadas em outra parte,A88-Outras infecções virais do sistema nervoso central não classificadas em outra parte,A88-Outras infecções virais do sistema nervoso central não classificadas em outra parte,Misc,N/A,,
073daecf-ab4b-408c-9cd1-ded63fc8db9e,,,DC_Infecções virais não especificadas do sistema nervoso central,DC_Infecções virais não especificadas do sistema nervoso central,A89-Infecções virais não especificadas do sistema nervoso central,A89-Infecções virais não especificadas do sistema nervoso central,Misc,N/A,,
e738d4a7-4e7d-4a7b-84df-f114a4ab7d2e,,,DC_Dengue [dengue clássico],DC_Dengue [dengue clássico],A90-Dengue [dengue clássico],A90-Dengue [dengue clássico],Misc,N/A,,
c185f5a6-82aa-4535-8d0f-44df62be470e,,,DC_Febre hemorrágica devida ao vírus do dengue,DC_Febre hemorrágica devida ao vírus do dengue,A91-Febre hemorrágica devida ao vírus do dengue,A91-Febre hemorrágica devida ao vírus do dengue,Misc,N/A,,
af2793c0-c3a3-4286-9731-a9d2edd35937,,,DC_Outras febres virais transmitidas por mosquitos,DC_Outras febres virais transmitidas por mosquitos,A92-Outras febres virais transmitidas por mosquitos,A92-Outras febres virais transmitidas por mosquitos,Misc,N/A,,
757de47f-9af5-47fe-b4df-bbdc1a03e49c,,,DC_Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,DC_Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,A93-Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,A93-Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Misc,N/A,,
53464b52-8c44-413a-a3bd-84ac310673bf,,,"DC_Febre viral transmitida por artrópodes, não especificada","DC_Febre viral transmitida por artrópodes, não especificada","A94-Febre viral transmitida por artrópodes, não especificada","A94-Febre viral transmitida por artrópodes, não especificada",Misc,N/A,,
8d90c705-6ade-449f-8444-6084a290ebd8,,,DC_Febre amarela,DC_Febre amarela,A95-Febre amarela,A95-Febre amarela,Misc,N/A,,
75badc5d-c510-4918-a542-990c5c6ee37f,,,DC_Febre hemorrágica por arenavírus,DC_Febre hemorrágica por arenavírus,A96-Febre hemorrágica por arenavírus,A96-Febre hemorrágica por arenavírus,Misc,N/A,,
5decaeae-c0aa-4c94-8253-ddbac81dd3b0,,,"DC_Outras febres hemorrágicas por vírus, não classificadas em outra parte","DC_Outras febres hemorrágicas por vírus, não classificadas em outra parte","A98-Outras febres hemorrágicas por vírus, não classificadas em outra parte","A98-Outras febres hemorrágicas por vírus, não classificadas em outra parte",Misc,N/A,,
a69f913c-f90a-45f9-9112-94892d23928b,,,DC_Febres hemorrágicas virais não especificadas,DC_Febres hemorrágicas virais não especificadas,A99-Febres hemorrágicas virais não especificadas,A99-Febres hemorrágicas virais não especificadas,Misc,N/A,,
5a53182b-fb97-427d-aa5a-199a4eb05ac8,,,DC_Infecções pelo vírus do herpes [herpes simples],DC_Infecções pelo vírus do herpes [herpes simples],B00-Infecções pelo vírus do herpes [herpes simples],B00-Infecções pelo vírus do herpes [herpes simples],Misc,N/A,,
66b7e075-2834-4da4-98dc-0face4996caf,,,DC_Varicela,DC_Varicela,B01-Varicela,B01-Varicela,Misc,N/A,,
ba7499ae-b019-4da7-8f0d-7aa986d2939a,,,DC_Herpes zoster [Zona],DC_Herpes zoster [Zona],B02-Herpes zoster [Zona],B02-Herpes zoster [Zona],Misc,N/A,,
2ff12061-ac42-4904-9745-c1129f052e56,,,DC_Varíola,DC_Varíola,B03-Varíola,B03-Varíola,Misc,N/A,,
36d85d41-ac69-4386-b92f-7bd3f6fe1a94,,,DC_Varíola dos macacos [Monkeypox],DC_Varíola dos macacos [Monkeypox],B04-Varíola dos macacos [Monkeypox],B04-Varíola dos macacos [Monkeypox],Misc,N/A,,
f6e59a52-8f35-424b-9b41-f9f478a162f6,,,DC_Sarampo,DC_Sarampo,B05-Sarampo,B05-Sarampo,Misc,N/A,,
ca8e4df2-70ed-4b3e-8c4c-c5823c24ac52,,,DC_Rubéola,DC_Rubéola,B06-Rubéola,B06-Rubéola,Misc,N/A,,
b6d0d391-0477-4a08-8748-9a6f12adfa70,,,DC_Verrugas de origem viral,DC_Verrugas de origem viral,B07-Verrugas de origem viral,B07-Verrugas de origem viral,Misc,N/A,,
a335e917-9a14-4fbe-bda2-27024eebfd6d,,,"DC_Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","DC_Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","B08-Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","B08-Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Misc,N/A,,
838d1fe6-0e50-4c27-bc20-247fbcda2f23,,,DC_Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,DC_Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,B09-Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,B09-Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,Misc,N/A,,
9413e78d-700d-4609-99b7-73913703b640,,,DC_Hepatite aguda A,DC_Hepatite aguda A,B15-Hepatite aguda A,B15-Hepatite aguda A,Misc,N/A,,
0c72f063-8f27-4f55-b90f-ab4f500b28c9,,,DC_Hepatite aguda B,DC_Hepatite aguda B,B16-Hepatite aguda B,B16-Hepatite aguda B,Misc,N/A,,
1dfbbcbd-8dd6-4492-b03f-71b8c956756a,,,DC_Outras hepatites virais agudas,DC_Outras hepatites virais agudas,B17-Outras hepatites virais agudas,B17-Outras hepatites virais agudas,Misc,N/A,,
08a30a5d-159e-4287-a624-dc40128268e7,,,DC_Hepatite viral crônica,DC_Hepatite viral crônica,B18-Hepatite viral crônica,B18-Hepatite viral crônica,Misc,N/A,,
ccce12f7-353e-4996-8eec-d3c1dcd33425,,,DC_Hepatite viral não especificada,DC_Hepatite viral não especificada,B19-Hepatite viral não especificada,B19-Hepatite viral não especificada,Misc,N/A,,
3a6b367e-0a4d-4b3f-b964-2166f5bccea4,,,"DC_Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","DC_Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","B20-Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","B20-Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias",Misc,N/A,,
d7c2c19e-acfb-4108-8e66-d0f76f9f0b9f,,,"DC_Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","DC_Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","B21-Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","B21-Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas",Misc,N/A,,
edb5091b-8ffb-4e6c-8ed6-869af61bf921,,,DC_Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,DC_Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,B22-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,B22-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,Misc,N/A,,
5a1193ea-3973-4041-bf27-c59e415cb9d5,,,DC_Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,DC_Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,B23-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,B23-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,Misc,N/A,,
61bb2b5c-000f-48f8-8727-027cf4dc7132,,,DC_Doença pelo vírus da imunodeficiência humana [HIV] não especificada,DC_Doença pelo vírus da imunodeficiência humana [HIV] não especificada,B24-Doença pelo vírus da imunodeficiência humana [HIV] não especificada,B24-Doença pelo vírus da imunodeficiência humana [HIV] não especificada,Misc,N/A,,
2add6262-1f52-4b8c-9bfb-7f15f51a6f96,,,DC_Doença por citomegalovírus,DC_Doença por citomegalovírus,B25-Doença por citomegalovírus,B25-Doença por citomegalovírus,Misc,N/A,,
6a018219-e1e3-4d02-b4e1-ef7c27acf53d,,,DC_Caxumba [Parotidite epidêmica],DC_Caxumba [Parotidite epidêmica],B26-Caxumba [Parotidite epidêmica],B26-Caxumba [Parotidite epidêmica],Misc,N/A,,
fc21df96-6904-4f20-b143-1683d7def3a3,,,DC_Mononucleose infecciosa,DC_Mononucleose infecciosa,B27-Mononucleose infecciosa,B27-Mononucleose infecciosa,Misc,N/A,,
f24e0c35-f72e-43c0-9033-975acc113cfa,,,DC_Conjuntivite viral,DC_Conjuntivite viral,B30-Conjuntivite viral,B30-Conjuntivite viral,Misc,N/A,,
00beef15-4200-4f72-a1ad-5031acfbad5b,,,DC_Outras doenças por vírus não classificada em outra parte,DC_Outras doenças por vírus não classificada em outra parte,B33-Outras doenças por vírus não classificada em outra parte,B33-Outras doenças por vírus não classificada em outra parte,Misc,N/A,,
7558d9cf-67b9-4cae-8c20-e0882af4acda,,,"DC_Doenças por vírus, de localização não especificada","DC_Doenças por vírus, de localização não especificada","B34-Doenças por vírus, de localização não especificada","B34-Doenças por vírus, de localização não especificada",Misc,N/A,,
8c9a363d-37ea-48ba-9dc8-71f45f8fa6fe,,,DC_Dermatofitose,DC_Dermatofitose,B35-Dermatofitose,B35-Dermatofitose,Misc,N/A,,
3b402cf8-0d2d-4dcb-bab3-6d124c030f9e,,,DC_Outras micoses superficiais,DC_Outras micoses superficiais,B36-Outras micoses superficiais,B36-Outras micoses superficiais,Misc,N/A,,
6cd9dcd0-85eb-4571-bf56-fea37c94a5ef,,,DC_Candidíase,DC_Candidíase,B37-Candidíase,B37-Candidíase,Misc,N/A,,
860d64e3-e634-440a-b497-002c0bea09ee,,,DC_Coccidioidomicose,DC_Coccidioidomicose,B38-Coccidioidomicose,B38-Coccidioidomicose,Misc,N/A,,
33b43248-3d39-4102-9a47-0cd9180cd358,,,DC_Histoplasmose,DC_Histoplasmose,B39-Histoplasmose,B39-Histoplasmose,Misc,N/A,,
585be931-609c-4ed5-b69a-9f9d1d6d351e,,,DC_Blastomicose,DC_Blastomicose,B40-Blastomicose,B40-Blastomicose,Misc,N/A,,
a52878ee-128f-4e95-9101-903687f56660,,,DC_Paracoccidioidomicose,DC_Paracoccidioidomicose,B41-Paracoccidioidomicose,B41-Paracoccidioidomicose,Misc,N/A,,
236f2e1b-3c78-43a5-91aa-b06f0483a6bc,,,DC_Esporotricose,DC_Esporotricose,B42-Esporotricose,B42-Esporotricose,Misc,N/A,,
67deeef8-413b-4eea-8a35-c2781ee7587c,,,DC_Cromomicose e abscesso feomicótico,DC_Cromomicose e abscesso feomicótico,B43-Cromomicose e abscesso feomicótico,B43-Cromomicose e abscesso feomicótico,Misc,N/A,,
cd33c56a-e5b4-4133-aa3f-823d2afdba7f,,,DC_Aspergilose,DC_Aspergilose,B44-Aspergilose,B44-Aspergilose,Misc,N/A,,
8e713e74-5878-45e9-b572-ce1170d283f7,,,DC_Criptococose,DC_Criptococose,B45-Criptococose,B45-Criptococose,Misc,N/A,,
21fe29cf-bd5b-4b88-9cc4-b600b6b701d9,,,DC_Zigomicose,DC_Zigomicose,B46-Zigomicose,B46-Zigomicose,Misc,N/A,,
f61ea403-ff3c-42f1-a259-4e7fbbd37271,,,DC_Micetoma,DC_Micetoma,B47-Micetoma,B47-Micetoma,Misc,N/A,,
8b79517d-3fe5-44e7-84f9-1e1cdf4d443c,,,"DC_Outras micoses, não classificadas em outra parte","DC_Outras micoses, não classificadas em outra parte","B48-Outras micoses, não classificadas em outra parte","B48-Outras micoses, não classificadas em outra parte",Misc,N/A,,
