uuid,Members,Answers,Fully specified name:pt,Fully specified name:en,Short name:pt,Short name:en,Data class,Data type,Same as mappings,_version:1,_order:100
6950db15-62d3-49d2-8f85-6b791908cd42,,,"Tuberculose respiratória, com confirmação bacteriológica e histológica","Tuberculose respiratória, com confirmação bacteriológica e histológica","A15-Tuberculose respiratória, com confirmação bacteriológica e histológica","A15-Tuberculose respiratória, com confirmação bacteriológica e histológica",Diagnosis,N/A,ICD 10 - WHO:A15,,
9c223ab9-e5fe-4048-8b55-640b7c3e3e92,,,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A16-Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica","A16-Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",Diagnosis,N/A,ICD 10 - WHO:A16,,
410ec6bc-a982-4dab-9875-762424eb20ad,,,Tuberculose do sistema nervoso,Tuberculose do sistema nervoso,A17-Tuberculose do sistema nervoso,A17-Tuberculose do sistema nervoso,Diagnosis,N/A,ICD 10 - WHO:A17,,
cf8019cf-119d-4cb4-b099-57c36be82cf5,,,Tuberculose de outros órgãos,Tuberculose de outros órgãos,A18-Tuberculose de outros órgãos,A18-Tuberculose de outros órgãos,Diagnosis,N/A,ICD 10 - WHO:A18,,
df946cbe-2e58-4938-90c0-23e7c91d0f18,,,Tuberculose miliar,Tuberculose miliar,A19-Tuberculose miliar,A19-Tuberculose miliar,Diagnosis,N/A,ICD 10 - WHO:A19,,
36df0677-007b-4321-9e9f-cb03b6e29a82,,,Peste,Peste,A20-Peste,A20-Peste,Diagnosis,N/A,ICD 10 - WHO:A20,,
0116044b-ca85-4d43-a8be-09fd7a658197,,,Tularemia,Tularemia,A21-Tularemia,A21-Tularemia,Diagnosis,N/A,ICD 10 - WHO:A21,,
2b2aa01e-8c89-49c8-a462-7b0757e7b616,,,Carbúnculo,Carbúnculo,A22-Carbúnculo,A22-Carbúnculo,Diagnosis,N/A,ICD 10 - WHO:A22,,
dc892204-3361-4eca-bfa8-666d83f7964d,,,Brucelose,Brucelose,A23-Brucelose,A23-Brucelose,Diagnosis,N/A,ICD 10 - WHO:A23,,
002a91f4-df7a-4050-90f9-69d7f3b3cb4e,,,Mormo e melioidose,Mormo e melioidose,A24-Mormo e melioidose,A24-Mormo e melioidose,Diagnosis,N/A,ICD 10 - WHO:A24,,
ad5f2843-4c05-472b-a5cb-29d04e828a78,,,Febres transmitidas por mordedura de rato,Febres transmitidas por mordedura de rato,A25-Febres transmitidas por mordedura de rato,A25-Febres transmitidas por mordedura de rato,Diagnosis,N/A,ICD 10 - WHO:A25,,
a540f97b-7246-4d19-a9e2-bc6ac9120e9d,,,Erisipelóide,Erisipelóide,A26-Erisipelóide,A26-Erisipelóide,Diagnosis,N/A,ICD 10 - WHO:A26,,
2364347e-9f6f-44ca-b214-4d10e7734810,,,Leptospirose,Leptospirose,A27-Leptospirose,A27-Leptospirose,Diagnosis,N/A,ICD 10 - WHO:A27,,
4d7d6579-f5d4-44c1-a068-c0cc88876347,,,Outras doenças bacterianas zoonóticas não classificadas em outra parte,Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28-Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28-Outras doenças bacterianas zoonóticas não classificadas em outra parte,Diagnosis,N/A,ICD 10 - WHO:A28,,
95ea1bff-dd09-462c-8969-ebe89b344a46,,,Hanseníase [doença de Hansen] [lepra],Hanseníase [doença de Hansen] [lepra],A30-Hanseníase [doença de Hansen] [lepra],A30-Hanseníase [doença de Hansen] [lepra],Diagnosis,N/A,ICD 10 - WHO:A30,,
2fa30916-7e67-4617-b4da-65cceb67a93e,,,Infecções devidas a outras micobactérias,Infecções devidas a outras micobactérias,A31-Infecções devidas a outras micobactérias,A31-Infecções devidas a outras micobactérias,Diagnosis,N/A,ICD 10 - WHO:A31,,
9d732ee7-d806-4579-afb5-75d99a15c956,,,Listeriose [listeríase],Listeriose [listeríase],A32-Listeriose [listeríase],A32-Listeriose [listeríase],Diagnosis,N/A,ICD 10 - WHO:A32,,
75974d8c-0d29-4275-9403-291f23b74a1a,,,Tétano do recém-nascido [neonatal],Tétano do recém-nascido [neonatal],A33-Tétano do recém-nascido [neonatal],A33-Tétano do recém-nascido [neonatal],Diagnosis,N/A,ICD 10 - WHO:A33,,
789bde72-da40-473b-aa9f-a2e282fee533,,,Tétano obstétrico,Tétano obstétrico,A34-Tétano obstétrico,A34-Tétano obstétrico,Diagnosis,N/A,ICD 10 - WHO:A34,,
04fe4b9f-5b95-4c1a-bc01-32d495a6e3fc,,,Outros tipos de tétano,Outros tipos de tétano,A35-Outros tipos de tétano,A35-Outros tipos de tétano,Diagnosis,N/A,ICD 10 - WHO:A35,,
ce5b314e-a6c5-4995-9c52-920d2995e0ac,,,Difteria,Difteria,A36-Difteria,A36-Difteria,Diagnosis,N/A,ICD 10 - WHO:A36,,
fe8a51fc-96f2-44c6-9ab7-f7aa59f7b66a,,,Coqueluche,Coqueluche,A37-Coqueluche,A37-Coqueluche,Diagnosis,N/A,ICD 10 - WHO:A37,,
f9c9d3f6-9871-408a-9b91-03eaaef85bea,,,Escarlatina,Escarlatina,A38-Escarlatina,A38-Escarlatina,Diagnosis,N/A,ICD 10 - WHO:A38,,
1f996179-a1a5-472e-a093-808fdb51500a,,,Infecção meningogócica,Infecção meningogócica,A39-Infecção meningogócica,A39-Infecção meningogócica,Diagnosis,N/A,ICD 10 - WHO:A39,,
63875462-ea05-4a72-8e68-773179ef7d67,,,Septicemia estreptocócica,Septicemia estreptocócica,A40-Septicemia estreptocócica,A40-Septicemia estreptocócica,Diagnosis,N/A,ICD 10 - WHO:A40,,
47b7d6dd-3291-4413-a8ce-e59c06dda541,,,Outras septicemias,Outras septicemias,A41-Outras septicemias,A41-Outras septicemias,Diagnosis,N/A,ICD 10 - WHO:A41,,
a44226b3-f05b-4d49-929c-e9d7e1375c47,,,Actinomicose,Actinomicose,A42-Actinomicose,A42-Actinomicose,Diagnosis,N/A,ICD 10 - WHO:A42,,
9502e9c5-2a4e-4d52-92ea-41517c982a08,,,Nocardiose,Nocardiose,A43-Nocardiose,A43-Nocardiose,Diagnosis,N/A,ICD 10 - WHO:A43,,
181e3034-d05e-4a48-bf54-6000dfa8b84a,,,Bartonelose,Bartonelose,A44-Bartonelose,A44-Bartonelose,Diagnosis,N/A,ICD 10 - WHO:A44,,
f99cca06-044b-4b23-ae29-cf4e26c81d0c,,,Erisipela,Erisipela,A46-Erisipela,A46-Erisipela,Diagnosis,N/A,ICD 10 - WHO:A46,,
c157154a-e794-4bf9-96fc-8ff53d5536dd,,,Outras doenças bacterianas não classificadas em outra parte,Outras doenças bacterianas não classificadas em outra parte,A48-Outras doenças bacterianas não classificadas em outra parte,A48-Outras doenças bacterianas não classificadas em outra parte,Diagnosis,N/A,ICD 10 - WHO:A48,,
f7410453-7efb-4411-8fc2-deef11e1a37e,,,Infecção bacteriana de local não especificado,Infecção bacteriana de local não especificado,A49-Infecção bacteriana de local não especificado,A49-Infecção bacteriana de local não especificado,Diagnosis,N/A,ICD 10 - WHO:A49,,
b7b76e4d-c9e4-4e32-92c6-7af16c65f7d2,,,Sífilis congênita,Sífilis congênita,A50-Sífilis congênita,A50-Sífilis congênita,Diagnosis,N/A,ICD 10 - WHO:A50,,
08821b36-5eba-4ad0-abc1-f4d691e76e8d,,,Sífilis precoce,Sífilis precoce,A51-Sífilis precoce,A51-Sífilis precoce,Diagnosis,N/A,ICD 10 - WHO:A51,,
bd91001a-955d-4517-a962-a1ae9dcd2f2a,,,Sífilis tardia,Sífilis tardia,A52-Sífilis tardia,A52-Sífilis tardia,Diagnosis,N/A,ICD 10 - WHO:A52,,
1aa64db4-22b8-4e74-ae47-42a885d6e5d1,,,Outras formas e as não especificadas da sífilis,Outras formas e as não especificadas da sífilis,A53-Outras formas e as não especificadas da sífilis,A53-Outras formas e as não especificadas da sífilis,Diagnosis,N/A,ICD 10 - WHO:A53,,
3775ca8d-780a-42e1-963c-e8145bb3ea87,,,Infecção gonocócica,Infecção gonocócica,A54-Infecção gonocócica,A54-Infecção gonocócica,Diagnosis,N/A,ICD 10 - WHO:A54,,
437681c1-235d-4e7b-a906-309415174c0a,,,Linfogranuloma (venéreo) por clamídia,Linfogranuloma (venéreo) por clamídia,A55-Linfogranuloma (venéreo) por clamídia,A55-Linfogranuloma (venéreo) por clamídia,Diagnosis,N/A,ICD 10 - WHO:A55,,
e0a185af-78e5-447d-a9d1-70734c9df033,,,Outras infecções causadas por clamídias transmitidas por via sexual,Outras infecções causadas por clamídias transmitidas por via sexual,A56-Outras infecções causadas por clamídias transmitidas por via sexual,A56-Outras infecções causadas por clamídias transmitidas por via sexual,Diagnosis,N/A,ICD 10 - WHO:A56,,
5d5f9483-06e8-4128-acaa-d2f59dec8024,,,Cancro mole,Cancro mole,A57-Cancro mole,A57-Cancro mole,Diagnosis,N/A,ICD 10 - WHO:A57,,
d4c918da-d360-46db-8e5b-ea0acab5440f,,,Granuloma inguinal,Granuloma inguinal,A58-Granuloma inguinal,A58-Granuloma inguinal,Diagnosis,N/A,ICD 10 - WHO:A58,,
2720f262-cbdd-4d3f-a9f0-bec4cb430b65,,,Tricomoníase,Tricomoníase,A59-Tricomoníase,A59-Tricomoníase,Diagnosis,N/A,ICD 10 - WHO:A59,,
b00163f8-5c4a-49b2-aaa3-1cdab52b8dae,,,Infecções anogenitais pelo vírus do herpes [herpes simples],Infecções anogenitais pelo vírus do herpes [herpes simples],A60-Infecções anogenitais pelo vírus do herpes [herpes simples],A60-Infecções anogenitais pelo vírus do herpes [herpes simples],Diagnosis,N/A,ICD 10 - WHO:A60,,
dfb9fe12-b938-437d-a3a2-e8589081b0d1,,,"Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","A63-Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte","A63-Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte",Diagnosis,N/A,ICD 10 - WHO:A63,,
7029006c-f23f-4320-92fd-4bde9d863cd1,,,"Doenças sexualmente transmitidas, não especificadas","Doenças sexualmente transmitidas, não especificadas","A64-Doenças sexualmente transmitidas, não especificadas","A64-Doenças sexualmente transmitidas, não especificadas",Diagnosis,N/A,ICD 10 - WHO:A64,,
da934449-2832-41df-a6de-cb1edb447ed1,,,Sífilis não-venérea,Sífilis não-venérea,A65-Sífilis não-venérea,A65-Sífilis não-venérea,Diagnosis,N/A,ICD 10 - WHO:A65,,
e444d499-5c75-47bd-9257-ac551ee0a6af,,,Bouba,Bouba,A66-Bouba,A66-Bouba,Diagnosis,N/A,ICD 10 - WHO:A66,,
e57fa971-9b8d-40d8-8c62-6be8be1ccf11,,,Pinta [carate],Pinta [carate],A67-Pinta [carate],A67-Pinta [carate],Diagnosis,N/A,ICD 10 - WHO:A67,,
78f3121c-acf1-4fa9-920f-a1528c14d079,,,Febres recorrentes [Borrelioses],Febres recorrentes [Borrelioses],A68-Febres recorrentes [Borrelioses],A68-Febres recorrentes [Borrelioses],Diagnosis,N/A,ICD 10 - WHO:A68,,
6e54f202-1b81-40b0-8b1a-c793967f3e32,,,Outras infecções por espiroquetas,Outras infecções por espiroquetas,A69-Outras infecções por espiroquetas,A69-Outras infecções por espiroquetas,Diagnosis,N/A,ICD 10 - WHO:A69,,
224fc9c8-b8b9-41c0-9cd9-3afb65658936,,,Infecções causadas por Clamídia psittaci,Infecções causadas por Clamídia psittaci,A70-Infecções causadas por Clamídia psittaci,A70-Infecções causadas por Clamídia psittaci,Diagnosis,N/A,ICD 10 - WHO:A70,,
e099bcf5-cc11-4ee4-b2be-b05fd857bedb,,,Tracoma,Tracoma,A71-Tracoma,A71-Tracoma,Diagnosis,N/A,ICD 10 - WHO:A71,,
fafde1ba-7425-40ad-b78d-5eddcd8679f7,,,Outras doenças causadas por Clamídias,Outras doenças causadas por Clamídias,A74-Outras doenças causadas por Clamídias,A74-Outras doenças causadas por Clamídias,Diagnosis,N/A,ICD 10 - WHO:A74,,
2c4d4623-ece6-4e13-aed1-1827616fbc6d,,,Tifo exantemático,Tifo exantemático,A75-Tifo exantemático,A75-Tifo exantemático,Diagnosis,N/A,ICD 10 - WHO:A75,,
42998dba-a3e5-40d7-aca0-29e74b0b07cc,,,Febre maculosa [rickettsioses transmitidas por carrapatos],Febre maculosa [rickettsioses transmitidas por carrapatos],A77-Febre maculosa [rickettsioses transmitidas por carrapatos],A77-Febre maculosa [rickettsioses transmitidas por carrapatos],Diagnosis,N/A,ICD 10 - WHO:A77,,
3945d02c-6f1d-4336-8cea-fb4af75776fa,,,Febre Q,Febre Q,A78-Febre Q,A78-Febre Q,Diagnosis,N/A,ICD 10 - WHO:A78,,
2b3c3a56-3885-49dc-adee-f1caa5f2973e,,,Outras rickettsioses,Outras rickettsioses,A79-Outras rickettsioses,A79-Outras rickettsioses,Diagnosis,N/A,ICD 10 - WHO:A79,,
8ac0e4cd-7081-4646-b23d-a2c23e18f062,,,Poliomielite aguda,Poliomielite aguda,A80-Poliomielite aguda,A80-Poliomielite aguda,Diagnosis,N/A,ICD 10 - WHO:A80,,
d57eb347-9834-4f22-b6d8-e0056a83ad99,,,Infecções por vírus lentos do sistema nervoso central,Infecções por vírus lentos do sistema nervoso central,A81-Infecções por vírus lentos do sistema nervoso central,A81-Infecções por vírus lentos do sistema nervoso central,Diagnosis,N/A,ICD 10 - WHO:A81,,
8c90d844-01cf-487b-b977-22d3ae0df3a4,,,Raiva,Raiva,A82-Raiva,A82-Raiva,Diagnosis,N/A,ICD 10 - WHO:A82,,
cada9a3b-96ba-4132-90db-c99bc2341c0e,,,Encefalite por vírus transmitidos por mosquitos,Encefalite por vírus transmitidos por mosquitos,A83-Encefalite por vírus transmitidos por mosquitos,A83-Encefalite por vírus transmitidos por mosquitos,Diagnosis,N/A,ICD 10 - WHO:A83,,
722dda69-905a-414d-ab7b-192a14007a53,,,Encefalite por vírus transmitido por carrapatos,Encefalite por vírus transmitido por carrapatos,A84-Encefalite por vírus transmitido por carrapatos,A84-Encefalite por vírus transmitido por carrapatos,Diagnosis,N/A,ICD 10 - WHO:A84,,
9069d8d0-bbe6-4bac-a3b5-79fc9969841d,,,"Outras encefalites virais, não classificadas em outra parte","Outras encefalites virais, não classificadas em outra parte","A85-Outras encefalites virais, não classificadas em outra parte","A85-Outras encefalites virais, não classificadas em outra parte",Diagnosis,N/A,ICD 10 - WHO:A85,,
2521b471-1a84-4d62-bb87-6cd34970028e,,,"Encefalite viral, não especificada","Encefalite viral, não especificada","A86-Encefalite viral, não especificada","A86-Encefalite viral, não especificada",Diagnosis,N/A,ICD 10 - WHO:A86,,
c1567d32-d86d-40a1-80be-519a966305fc,,,Meningite viral,Meningite viral,A87-Meningite viral,A87-Meningite viral,Diagnosis,N/A,ICD 10 - WHO:A87,,
7a0071cd-9a87-46c2-bc50-222fa9047151,,,Outras infecções virais do sistema nervoso central não classificadas em outra parte,Outras infecções virais do sistema nervoso central não classificadas em outra parte,A88-Outras infecções virais do sistema nervoso central não classificadas em outra parte,A88-Outras infecções virais do sistema nervoso central não classificadas em outra parte,Diagnosis,N/A,ICD 10 - WHO:A88,,
d0c4eb81-c7bd-46bf-9e22-5250e03d0556,,,Infecções virais não especificadas do sistema nervoso central,Infecções virais não especificadas do sistema nervoso central,A89-Infecções virais não especificadas do sistema nervoso central,A89-Infecções virais não especificadas do sistema nervoso central,Diagnosis,N/A,ICD 10 - WHO:A89,,
9b1d5714-24f8-413e-a5d4-35b4443354ee,,,Dengue [dengue clássico],Dengue [dengue clássico],A90-Dengue [dengue clássico],A90-Dengue [dengue clássico],Diagnosis,N/A,ICD 10 - WHO:A90,,
03026186-f0d9-4bae-ab0a-230e0cbe16a3,,,Febre hemorrágica devida ao vírus do dengue,Febre hemorrágica devida ao vírus do dengue,A91-Febre hemorrágica devida ao vírus do dengue,A91-Febre hemorrágica devida ao vírus do dengue,Diagnosis,N/A,ICD 10 - WHO:A91,,
52972f45-19d8-4e3d-b896-30f7f42c661c,,,Outras febres virais transmitidas por mosquitos,Outras febres virais transmitidas por mosquitos,A92-Outras febres virais transmitidas por mosquitos,A92-Outras febres virais transmitidas por mosquitos,Diagnosis,N/A,ICD 10 - WHO:A92,,
fed5d1fd-5118-49bd-99b8-6aa2f7d7c876,,,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,A93-Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,A93-Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte,Diagnosis,N/A,ICD 10 - WHO:A93,,
c1b43699-e723-4c3f-84e1-a1787b767a76,,,"Febre viral transmitida por artrópodes, não especificada","Febre viral transmitida por artrópodes, não especificada","A94-Febre viral transmitida por artrópodes, não especificada","A94-Febre viral transmitida por artrópodes, não especificada",Diagnosis,N/A,ICD 10 - WHO:A94,,
40634452-dd1e-4763-b877-6ba1bbcd0601,,,Febre amarela,Febre amarela,A95-Febre amarela,A95-Febre amarela,Diagnosis,N/A,ICD 10 - WHO:A95,,
02cb18b9-4e36-4379-aefb-72eefe871557,,,Febre hemorrágica por arenavírus,Febre hemorrágica por arenavírus,A96-Febre hemorrágica por arenavírus,A96-Febre hemorrágica por arenavírus,Diagnosis,N/A,ICD 10 - WHO:A96,,
e94a7cf9-e92b-4ea7-8fc1-bbe015c49f3f,,,"Outras febres hemorrágicas por vírus, não classificadas em outra parte","Outras febres hemorrágicas por vírus, não classificadas em outra parte","A98-Outras febres hemorrágicas por vírus, não classificadas em outra parte","A98-Outras febres hemorrágicas por vírus, não classificadas em outra parte",Diagnosis,N/A,ICD 10 - WHO:A98,,
792e36b3-64b3-4a2c-b803-1964b60e7f88,,,Febres hemorrágicas virais não especificadas,Febres hemorrágicas virais não especificadas,A99-Febres hemorrágicas virais não especificadas,A99-Febres hemorrágicas virais não especificadas,Diagnosis,N/A,ICD 10 - WHO:A99,,
a7866c6b-6c89-499c-8118-da3abcd4f634,,,Infecções pelo vírus do herpes [herpes simples],Infecções pelo vírus do herpes [herpes simples],B00-Infecções pelo vírus do herpes [herpes simples],B00-Infecções pelo vírus do herpes [herpes simples],Diagnosis,N/A,ICD 10 - WHO:B00,,
7f11da1e-5504-491f-b21f-ffede2d7f9d7,,,Varicela,Varicela,B01-Varicela,B01-Varicela,Diagnosis,N/A,ICD 10 - WHO:B01,,
54aa7b48-64c7-48b6-aeaf-8c3aea7a01ff,,,Herpes zoster [Zona],Herpes zoster [Zona],B02-Herpes zoster [Zona],B02-Herpes zoster [Zona],Diagnosis,N/A,ICD 10 - WHO:B02,,
410b4732-ed42-47bb-a922-0352deece3ff,,,Varíola,Varíola,B03-Varíola,B03-Varíola,Diagnosis,N/A,ICD 10 - WHO:B03,,
7b407ae8-9102-4149-a0b5-092a72e2a5bc,,,Varíola dos macacos [Monkeypox],Varíola dos macacos [Monkeypox],B04-Varíola dos macacos [Monkeypox],B04-Varíola dos macacos [Monkeypox],Diagnosis,N/A,ICD 10 - WHO:B04,,
8be528e1-a809-46f6-9575-f796817ceef9,,,Sarampo,Sarampo,B05-Sarampo,B05-Sarampo,Diagnosis,N/A,ICD 10 - WHO:B05,,
2b3f3e7f-b5d9-4a71-87fc-93a914ffc9d7,,,Rubéola,Rubéola,B06-Rubéola,B06-Rubéola,Diagnosis,N/A,ICD 10 - WHO:B06,,
af65c46d-a7bd-4900-8ece-e4334384ea5f,,,Verrugas de origem viral,Verrugas de origem viral,B07-Verrugas de origem viral,B07-Verrugas de origem viral,Diagnosis,N/A,ICD 10 - WHO:B07,,
3652639d-004e-4250-985d-a358f1681fcb,,,"Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","B08-Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte","B08-Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte",Diagnosis,N/A,ICD 10 - WHO:B08,,
630c7c74-01d3-429f-8eca-634c38c13070,,,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,B09-Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,B09-Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,Diagnosis,N/A,ICD 10 - WHO:B09,,
24eb7c9b-3b21-40e7-8f11-3e56a8693e36,,,Hepatite aguda A,Hepatite aguda A,B15-Hepatite aguda A,B15-Hepatite aguda A,Diagnosis,N/A,ICD 10 - WHO:B15,,
8e7e539b-1024-42c1-ae8e-342eef249bc2,,,Hepatite aguda B,Hepatite aguda B,B16-Hepatite aguda B,B16-Hepatite aguda B,Diagnosis,N/A,ICD 10 - WHO:B16,,
fdc8bca1-5660-422f-aa0e-74e83d5c6fc5,,,Outras hepatites virais agudas,Outras hepatites virais agudas,B17-Outras hepatites virais agudas,B17-Outras hepatites virais agudas,Diagnosis,N/A,ICD 10 - WHO:B17,,
a142dd51-4a0a-4835-a224-68a6ca1b0b10,,,Hepatite viral crônica,Hepatite viral crônica,B18-Hepatite viral crônica,B18-Hepatite viral crônica,Diagnosis,N/A,ICD 10 - WHO:B18,,
a652e189-6861-4483-895c-72d4328c535e,,,Hepatite viral não especificada,Hepatite viral não especificada,B19-Hepatite viral não especificada,B19-Hepatite viral não especificada,Diagnosis,N/A,ICD 10 - WHO:B19,,
8ef544ad-d3e6-46ce-9dbe-23e8603d87d9,,,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","B20-Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias","B20-Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias",Diagnosis,N/A,ICD 10 - WHO:B20,,
64aa7600-c89a-4eda-8640-cd0e54822eb3,,,"Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","B21-Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas","B21-Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas",Diagnosis,N/A,ICD 10 - WHO:B21,,
00eb3e7b-d92d-433b-8e10-2c7c31520587,,,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,B22-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,B22-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas,Diagnosis,N/A,ICD 10 - WHO:B22,,
67607eb4-e0ee-42a9-98aa-a7d3c2a5965b,,,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,B23-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,B23-Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças,Diagnosis,N/A,ICD 10 - WHO:B23,,
e38baaf9-9ec4-4c77-a4e4-ec565967a0fd,,,Doença pelo vírus da imunodeficiência humana [HIV] não especificada,Doença pelo vírus da imunodeficiência humana [HIV] não especificada,B24-Doença pelo vírus da imunodeficiência humana [HIV] não especificada,B24-Doença pelo vírus da imunodeficiência humana [HIV] não especificada,Diagnosis,N/A,ICD 10 - WHO:B24,,
be25bb09-bb15-43c4-98cc-92fcbb51882b,,,Doença por citomegalovírus,Doença por citomegalovírus,B25-Doença por citomegalovírus,B25-Doença por citomegalovírus,Diagnosis,N/A,ICD 10 - WHO:B25,,
7560576f-36a9-4171-b552-af5a59ef0ca6,,,Caxumba [Parotidite epidêmica],Caxumba [Parotidite epidêmica],B26-Caxumba [Parotidite epidêmica],B26-Caxumba [Parotidite epidêmica],Diagnosis,N/A,ICD 10 - WHO:B26,,
b652bab2-fa5e-4550-a52e-ab7eff80aaac,,,Mononucleose infecciosa,Mononucleose infecciosa,B27-Mononucleose infecciosa,B27-Mononucleose infecciosa,Diagnosis,N/A,ICD 10 - WHO:B27,,
f7238895-0d46-496b-9c5c-acf274e7a578,,,Conjuntivite viral,Conjuntivite viral,B30-Conjuntivite viral,B30-Conjuntivite viral,Diagnosis,N/A,ICD 10 - WHO:B30,,
c8674477-f79f-4a12-a800-381326de3100,,,Outras doenças por vírus não classificada em outra parte,Outras doenças por vírus não classificada em outra parte,B33-Outras doenças por vírus não classificada em outra parte,B33-Outras doenças por vírus não classificada em outra parte,Diagnosis,N/A,ICD 10 - WHO:B33,,
65df9918-f439-4709-8788-b7184dd3b2d4,,,"Doenças por vírus, de localização não especificada","Doenças por vírus, de localização não especificada","B34-Doenças por vírus, de localização não especificada","B34-Doenças por vírus, de localização não especificada",Diagnosis,N/A,ICD 10 - WHO:B34,,
